Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2021-01-07 22:39:36+00:00,1347311954625396737,"Wise call by Qld Premier @AnnastaciaMP to have a brief lockdown to enable Queensland health authorities to get on top of the UK strain case in Brisbane.

A big thanks in advance to everyone in greater Brisbane for their patience in coming days.

This will buy much needed time.",ScottMorrisonMP,3048,273,Australia
2021-01-06 22:40:58+00:00,1346949911237914625,Very distressing scenes at the US Congress. We condemn these acts of violence and look forward to a peaceful transfer of Government to the newly elected administration in the great American democratic tradition.,ScottMorrisonMP,29585,4299,Australia
2020-12-31 13:17:38+00:00,1344633815231172609,"Happy New Year Australia, because we are one and free! 🇦🇺",ScottMorrisonMP,12095,967,Australia
2020-12-24 03:13:17+00:00,1341945012414648321,"Well done Australia! Latest numbers show more than 96,000 COVID tests in the last 24 hours, a new record. A big thanks to all the health workers who will be working through Christmas to keep us safe. Let’s all keep doing our bit to stay COVIDSafe.",ScottMorrisonMP,3719,223,Australia
2020-12-20 03:55:02+00:00,1340505967914438657,"Saddened to learn of the passing of Sir Mekere Morauta, former Prime Minister of Papua New Guinea, who gave so much to his government, his people and his country.",ScottMorrisonMP,1355,120,Australia
2020-12-18 03:45:06+00:00,1339778693166559233,"The Australian Sports Medal can now be awarded to members of Australian teams who participate in eligible international multi-sport events, going back to the 2018 Invictus Games.



Special thanks to @billshortenmp for your initiative and constructive work through this process.",ScottMorrisonMP,498,51,Australia
2020-12-11 04:02:06+00:00,1337246254422605826,Well done Australia! Amazing effort. Let’s make sure we keep being #COVIDSafe. ,ScottMorrisonMP,1222,112,Australia
2020-12-10 02:39:54+00:00,1336863180589473793,"Congratulations to the winners of this year’s PM's Literary Awards, with outstanding work by a number of our most talented Australian authors, poets, illustrators and historians being recognised.

",ScottMorrisonMP,431,47,Australia
2020-12-10 01:12:57+00:00,1336841296590249984,"Portuguese PM Costa and I had a very good exchange on our shared interests as liberal democracies. We're committed to learning lessons from the pandemic, an ambitious EU-Australia FTA, strengthening ties between the EU and the Indo-Pacific, and further multilateral cooperation. ",ScottMorrisonMP,267,26,Australia
2020-12-09 21:00:30+00:00,1336777767333949441,"Thanks to my good friend Netherlands @MinPres for an excellent discussion. We'll keep pursuing justice for MH17 victims &amp; agree on the need for an ambitious EU FTA, practical, technology-driven emissions reduction &amp; more cooperation on security, open trade &amp; secure supply chains. ",ScottMorrisonMP,498,66,Australia
